list_rank,bgm_rank,id,name,name_cn,year,score,votes,tags,url
123,189,296739,ヴィンランド・サガ SEASON 2,冰海战记 第二季,2023,8.1,7585,MAPPA|历史|漫画改|2023年1月|战斗|成长|TV|剧情|2023|漫改|续作|战争|WITSTUDIO|籔田修平|霸权社|日本|薮田修平|热血|冰海战记|反战|神作|濑古浩司|种田|2023年|海盗战记|半年番|冒险|史诗|幸村诚|2020s,https://chii.in/subject/296739
124,190,72941,キルラキル,斩服少女,2013,8.1,17130,今石洋之|TRIGGER|热血|原创|泽野弘之|2013年10月|战斗|TV|燃|双斩少女|2013|百合|小清水亚美|搞笑|キルラキル|日本|校园|奇幻|2013年10月秋アニメ|斩服少女|2013年|中島かずき|神作|澤野弘之|中岛一基|扳机社|作画|半年番|吉成曜|原创动画,https://chii.in/subject/72941
125,191,282433,映像研には手を出すな！,别对映像研出手！,2020,8.1,8714,汤浅政明|2020年1月|TV|ScienceSARU|漫画改|校园|青春|2020|漫改|动画制作|日常|湯浅政明|日本动画|日本|Science_SARU|励志|搞笑|业界|神作|热血|2020年|科普|伊藤沙莉|动画|サイエンスSARU|季番|TVA|原创|作画|奇幻,https://chii.in/subject/282433
129,196,1948,キノの旅 -the Beautiful World-,奇诺之旅,2003,8.1,5176,奇诺之旅|灰色童话|TV|轻小说改|2003|寓言|轻小说|内涵|深度|2003年4月|黑星红白|奇幻|时雨泽惠一|幻想|小说改|内涵系|公路片|中村隆太郎|A・C・G・T|轻改|日本|治愈|公路|旅行|轻小说改编|冒险|单元剧|A.C.G.T|A.C.G.T.|2003年,https://chii.in/subject/1948
133,209,127563,ワンパンマン,一拳超人,2015,8,20862,热血|MADHouse|搞笑|一拳超人|战斗|漫画改|2015年10月|TV|漫改|2015|夏目真悟|ONE|石川界人|日本|梶裕貴|悠木碧|古川慎|奇幻|作画|燃|龙傲天|2015年|超能力|神作|日本动画|村田雄介|鈴木智尋|动作|动画|TVA,https://chii.in/subject/127563
134,210,101442,のんのんびより  りぴーと,悠哉日常大王 Repeat,2015,8,7267,日常|治愈|喵帕斯|SILVERLINK.|2015年7月|漫画改|TV|悠哉日常大王|百合|萌|2015|漫改|川面真也|第二季|吉田玲子|搞笑|日本|续作|轻百合|萝莉|乡村|阿澄佳奈|2015年|校园|萌系|佐仓绫音|SILVERLINK|SILVER_LINK.|村川梨衣|志茂文彦,https://chii.in/subject/101442
135,211,1267,おおきく振りかぶって,王牌投手 振臂高挥,2007,8.1,2091,大振|棒球|青春|王牌投手振臂高挥|燃|A-1Pictures|TV|2007|基|水岛努|中村悠一|漫画改|运动|黑田洋介|腐|2007年4月|野球|漫改|王牌投手|热血|腐向|竞技|阿部|暧昧。|A-1|振臂高挥|水島努|体育|2007年|运动番,https://chii.in/subject/1267
136,213,843,妄想代理人,妄想代理人,2004,8,4665,今敏|MADHouse|TV|超现实|2004|原创|妄想代理人|奇幻|悬疑|能登麻美子|妄想|2004年2月|神作|幻想|日本|小众|惊悚|科幻|烂尾|2004年|心理|2004年1月|安藤雅司|平沢進|平泽进|补旧番|水上清資|剧情|杯具|动画,https://chii.in/subject/843
137,214,85631,ジョジョの奇妙な冒険 スターダストクルセイダース,JOJO的奇妙冒险 星尘斗士,2014,8,16944,JOJO|JOJO的奇妙冒险|热血|漫画改|2014年4月|战斗|TV|2014|燃|学姿势|david.production|漫改|奇幻|davidproduction|津田尚克|荒木飞吕彦|日本|智斗|超能力系|david_production|冒险|搞笑|荒木飛呂彦|2014年|小林靖子|大卫社|JUMP|续作|神作|小野大辅,https://chii.in/subject/85631
138,215,347887,からかい上手の高木さん③,擅长捉弄的高木同学 第三季,2022,8,7828,恋爱|校园|日常|2022年1月|狗粮|漫画改|TV|SHIN-EI|2022|漫改|擅长捉弄的高木同学|高橋李依|搞笑|赤城博昭|续作|日本|青春|治愈|纯爱|擅长调情的西片太太|高桥李依|シンエイ動画|2022年|神作|山本崇一朗|喜剧|萌|TVA|2022冬|高木同学,https://chii.in/subject/347887
