title,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Diamond no Ace: Second Season,2015,Sports,8.3,179,82284,11.0,,,,,,,,
Initial D Final Stage,2014,Action|Drama|Sport,8.3,176,84509,12.5,8.4,87.0,1203.0,42.67,,,,
Boku dake ga Inai Machi,2016,Mystery|Suspense|Crime|Drama,8.3,177,1466938,12.0,8.4,88.0,72748.0,42.0,,,,
Kingdom 2nd Season,2013,Action|Drama,8.29,191,73538,5.0,8.8,21.0,6196.0,86.67,,,,
Kemono no Souja Erin,2009,Drama|Fantasy|Short|Comedy,8.29,190,22786,5.5,8.3,101.0,76.0,33.33,,,,
Kuroko no Basket 3rd Season,2015,Sports,8.29,189,509058,6.0,,,,,,,,
Katanagatari,2010,Action|Adventure|Romance|Comedy|Drama,8.29,188,222981,6.5,8.8,18.0,90568.0,88.67,,,,
Sakamichi no Apollon,2012,Drama|Romance|Action|Adventure,8.29,187,181772,7.0,9.1,3.0,691912.0,98.67,,,,
Given,2019,Boys Love|Drama,8.29,181,343808,10.0,,,,,,,,
Tensei shitara Slime Datta Ken 2nd Season Part 2,2021,Action|Comedy|Fantasy,8.29,185,518760,8.0,,,,,,,,
Beck,2004,Drama|Action|Adventure,8.29,184,150088,8.5,8.2,124.0,89694.0,18.0,,,,
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,2011,Drama|Supernatural|Action|Adventure,8.29,183,1030124,9.0,8.2,120.0,13708.0,20.67,,,,
Naruto: Shippuuden,2007,Action|Adventure|Fantasy,8.29,186,1804566,7.5,8.7,31.0,217277.0,80.0,,,,
Yuukoku no Moriarty Part 2,2021,Mystery|Suspense|Adventure|Drama,8.29,182,135784,9.5,8.3,98.0,12515.0,35.33,,,,
Diamond no Ace: Act II,2019,Sports|Comedy|Sport,8.28,192,50474,4.5,8.3,99.0,411.0,34.67,,,,
Kino no Tabi: The Beautiful World,2003,Adventure|Drama|Fantasy,8.28,193,105266,4.0,8.3,93.0,3655.0,38.67,,,,
Gin no Saji 2nd Season,2014,Comedy|Action|Adventure,8.27,194,94291,3.5,9.1,2.0,691912.0,99.33,,,,
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",2024,Action|Adventure|Fantasy,8.26,195,124961,3.0,,,,,,,,
Kage no Jitsuryokusha ni Naritakute! 2nd Season,2023,Action|Comedy|Fantasy|Adventure,8.26,196,290049,2.5,7.7,144.0,13938.0,4.67,,,,
Space☆Dandy 2nd Season,2014,Comedy|Sci-Fi|Drama|Sport,8.26,197,95510,2.0,8.6,47.0,6003.0,69.33,,,,
Dororo,2019,Action|Adventure|Fantasy,8.26,198,693634,1.5,8.2,130.0,28462.0,14.0,,,,
Yuru Camp△,2018,Slice of Life,8.26,199,238031,1.0,,,,,,,,
Shirobako,2014,Award Winning|Comedy|Drama|Action|Adventure,8.26,200,149040,0.5,9.1,1.0,691912.0,100.0,7.9,12.0,5476.0,56.0
